original_name,refactored_name,type,full_name,parent_namespace
BVH,,Namespace,BVH,
Graphic3d_TransformUtils,,Namespace,Graphic3d_TransformUtils,
IMeshData,,Namespace,IMeshData,
Model,,Namespace,IMeshData::Model,IMeshData
NCollection_MapAlgo,,Namespace,NCollection_MapAlgo,
NCollection_Primes,,Namespace,NCollection_Primes,
OpenGl,,Namespace,OpenGl,
OpenGl_HashMapInitializer,,Namespace,OpenGl_HashMapInitializer,
OpenGl_Raytrace,,Namespace,OpenGl_Raytrace,
RWObj_Tools,,Namespace,RWObj_Tools,
SelectMgr_MatOp,,Namespace,SelectMgr_MatOp,
TopoDS,,Namespace,TopoDS,
exptocas,,Namespace,exptocas,
opencascade,,Namespace,opencascade,
FNVHash,,Namespace,opencascade::FNVHash,opencascade
MurmurHash,,Namespace,opencascade::MurmurHash,opencascade
std,,Namespace,opencascade::std,opencascade
std,,Namespace,std,
step,,Namespace,step,
